Resource Id,Resource Name,Building Id,Resource Category,Resource Type,Floor Name,Capacity,Floor Section,User Visible Description,Description
 102854479,GadgetMobile,Zone-Create,CONFERENCE_ROOM,Work room,RDC,4,,,
 1232901513,Nostromo,Zone-Create,CONFERENCE_ROOM,Work room,1,6,,,
 14413089512,Delorean,Zone-Create,CONFERENCE_ROOM,Work room,RDC,6,,,
 15242247158,Skateboard,Zone-Share,CONFERENCE_ROOM,Work room,1,6,,,
 154882509,Black Pearl,Zone-Create,CONFERENCE_ROOM,Work room,RDC,6,,,
 16183089873,Convertible,Zone-Share,CONFERENCE_ROOM,Work room,1,6,,,
 16655226746,Ferry,Zone-Share,CONFERENCE_ROOM,Work room,1,2,,,
 20226497416,Paddleboat,Zone-Share,CONFERENCE_ROOM,Work room,1,2,,,
 20588753836,Subway,Zone-Share,CONFERENCE_ROOM,Work room,1,2,,,
 2086528063,Lifeboat,Zone-Share,CONFERENCE_ROOM,Work room,1,6,,,
 2314232827,Carriage,Zone-Share,CONFERENCE_ROOM,Chill room,1,2,,,
 2646259863,Minivan,Zone-Share,CONFERENCE_ROOM,Work room,1,6,,,
 30452539658,Hovercraft,Zone-Share,CONFERENCE_ROOM,Work room,1,6,,,
 3545029698,Nebuchadnezzar,Zone-Create,CONFERENCE_ROOM,Work room,RDC,6,,,
 3559637441,Heart of Gold,Zone-Create,CONFERENCE_ROOM,Work room,1,4,,,
 36426848582,Planet Express,Zone-Create,CONFERENCE_ROOM,Work room,RDC,6,,,
 36967201686,Millenium Falcon,Zone-Create,CONFERENCE_ROOM,Work room,RDC,6,,,
 37080774938,Catbus,Zone-Create,CONFERENCE_ROOM,Work room,1,4,,,
 37313573935,Spinner,Zone-Create,CONFERENCE_ROOM,Work room,1,4,,,
 38722006545,Sailboat,Zone-Share,CONFERENCE_ROOM,Work room,1,4,,,
 41958074448,Polar Express,Zone-Create,CONFERENCE_ROOM,Chill room,RDC,6,,,
 44435347955,Witch's Broom,Zone-Create,CONFERENCE_ROOM,Work room,RDC,6,,,
 46694792840,Caravel,Zone-Share,CONFERENCE_ROOM,Work room,1,6,,,
 4682838696,Water scooter,Zone-Share,CONFERENCE_ROOM,Work room,1,2,,,
 47188296600,Glass Elevator,Zone-Create,CONFERENCE_ROOM,Chill room,RDC,6,,,
 48232536539,Canoe,Zone-Share,CONFERENCE_ROOM,Work room,1,2,,,
 49944337877,Herbie,Zone-Create,CONFERENCE_ROOM,Work room,1,6,,,
 50284839769,Gondola,Zone-Share,CONFERENCE_ROOM,Work room,1,2,,,
